"","scientificname","county","n","recent_collect_date","recent_id_date","mass","length"
"159","Acmaeodera alicia","ramsey",0,NA,NA,NA,NA
"160","Acmaeodera alicia","red lake",0,NA,NA,NA,NA
"161","Acmaeodera alicia","redwood",0,NA,NA,NA,NA
"162","Acmaeodera alicia","renville",0,NA,NA,NA,NA
"163","Acmaeodera alicia","rice",0,NA,NA,NA,NA
"164","Acmaeodera alicia","rock",0,NA,NA,NA,NA
"165","Acmaeodera alicia","roseau",0,NA,NA,NA,NA
"166","Acmaeodera alicia","saint anthony park",0,NA,NA,NA,NA
"167","Acmaeodera alicia","santa rita",0,NA,NA,NA,NA
"168","Acmaeodera alicia","scott",0,NA,NA,NA,NA
"169","Acmaeodera alicia","sherburne",0,NA,NA,NA,NA
"170","Acmaeodera alicia","sibley",0,NA,NA,NA,NA
"171","Acmaeodera alicia","st louis",0,NA,NA,NA,NA
"172","Acmaeodera alicia","stearns",0,NA,NA,NA,NA
"173","Acmaeodera alicia","steele",0,NA,NA,NA,NA
"174","Acmaeodera alicia","stevens",0,NA,NA,NA,NA
"175","Acmaeodera alicia","swift",0,NA,NA,NA,NA
"176","Acmaeodera alicia","todd",0,NA,NA,NA,NA
"177","Acmaeodera alicia","traverse",0,NA,NA,NA,NA
"178","Acmaeodera alicia","wabasha",0,NA,NA,NA,NA
"179","Acmaeodera alicia","wadena",0,NA,NA,NA,NA
"180","Acmaeodera alicia","waseca",0,NA,NA,NA,NA
"181","Acmaeodera alicia","washington",0,NA,NA,NA,NA
"182","Acmaeodera alicia","watonwan",0,NA,NA,NA,NA
"183","Acmaeodera alicia","wilkin",0,NA,NA,NA,NA
"184","Acmaeodera alicia","winona",0,NA,NA,NA,NA
"185","Acmaeodera alicia","wright",0,NA,NA,NA,NA
"186","Acmaeodera alicia","yellow medicine",0,NA,NA,NA,NA
"187","Acmaeodera amplicollis","aitkin",0,NA,NA,NA,NA
"188","Acmaeodera amplicollis","anoka",0,NA,NA,NA,NA
"189","Acmaeodera amplicollis","anoka/isanti",0,NA,NA,NA,NA
"190","Acmaeodera amplicollis","aonka/isanti",0,NA,NA,NA,NA
"191","Acmaeodera amplicollis","becker",0,NA,NA,NA,NA
"192","Acmaeodera amplicollis","beltrami",0,NA,NA,NA,NA
"193","Acmaeodera amplicollis","benton",0,NA,NA,NA,NA
"194","Acmaeodera amplicollis","big stone",0,NA,NA,NA,NA
"195","Acmaeodera amplicollis","blue earth",0,NA,NA,NA,NA
"196","Acmaeodera amplicollis","brown",0,NA,NA,NA,NA
"197","Acmaeodera amplicollis","carlton",0,NA,NA,NA,NA
"198","Acmaeodera amplicollis","carver",0,NA,NA,NA,NA
"199","Acmaeodera amplicollis","cass",0,NA,NA,NA,NA
"200","Acmaeodera amplicollis","chippewa",0,NA,NA,NA,NA
"201","Acmaeodera amplicollis","chisago",0,NA,NA,NA,NA
"202","Acmaeodera amplicollis","clay",0,NA,NA,NA,NA
"203","Acmaeodera amplicollis","clearwater",0,NA,NA,NA,NA
"204","Acmaeodera amplicollis","cook",0,NA,NA,NA,NA
"205","Acmaeodera amplicollis","cottonwood",0,NA,NA,NA,NA
"206","Acmaeodera amplicollis","crow wing",0,NA,NA,NA,NA
"207","Acmaeodera amplicollis","dakota",0,NA,NA,NA,NA
"208","Acmaeodera amplicollis","dodge",0,NA,NA,NA,NA
"209","Acmaeodera amplicollis","douglas",0,NA,NA,NA,NA
"210","Acmaeodera amplicollis","faribault",0,NA,NA,NA,NA
"211","Acmaeodera amplicollis","fillmore",0,NA,NA,NA,NA
"212","Acmaeodera amplicollis","freeborn",0,NA,NA,NA,NA
"213","Acmaeodera amplicollis","goodhue",0,NA,NA,NA,NA
"214","Acmaeodera amplicollis","grant",0,NA,NA,NA,NA
"215","Acmaeodera amplicollis","hennepin",0,NA,NA,NA,NA
"216","Acmaeodera amplicollis","houston",0,NA,NA,NA,NA
"217","Acmaeodera amplicollis","hubbard",0,NA,NA,NA,NA
"218","Acmaeodera amplicollis","isanti",0,NA,NA,NA,NA
"219","Acmaeodera amplicollis","itasca",0,NA,NA,NA,NA
"220","Acmaeodera amplicollis","itasca park",0,NA,NA,NA,NA
"221","Acmaeodera amplicollis","jackson",0,NA,NA,NA,NA
"222","Acmaeodera amplicollis","kanabec",0,NA,NA,NA,NA
"223","Acmaeodera amplicollis","kandiyohi",0,NA,NA,NA,NA
"224","Acmaeodera amplicollis","kittson",0,NA,NA,NA,NA
"225","Acmaeodera amplicollis","koochiching",0,NA,NA,NA,NA
"226","Acmaeodera amplicollis","lac qui parle",0,NA,NA,NA,NA
"227","Acmaeodera amplicollis","lake",0,NA,NA,NA,NA
"228","Acmaeodera amplicollis","lake of the woods",0,NA,NA,NA,NA
"229","Acmaeodera amplicollis","le sueur",0,NA,NA,NA,NA
"230","Acmaeodera amplicollis","lincoln",0,NA,NA,NA,NA
"231","Acmaeodera amplicollis","lyon",0,NA,NA,NA,NA
"232","Acmaeodera amplicollis","mahnomen",0,NA,NA,NA,NA
"233","Acmaeodera amplicollis","marshall",0,NA,NA,NA,NA
"234","Acmaeodera amplicollis","martin",0,NA,NA,NA,NA
"235","Acmaeodera amplicollis","mcleod",0,NA,NA,NA,NA
"236","Acmaeodera amplicollis","meeker",0,NA,NA,NA,NA
"237","Acmaeodera amplicollis","mille lacs",0,NA,NA,NA,NA
"238","Acmaeodera amplicollis","mille lacs lake",0,NA,NA,NA,NA
"239","Acmaeodera amplicollis","morrison",0,NA,NA,NA,NA
"240","Acmaeodera amplicollis","mower",0,NA,NA,NA,NA
"241","Acmaeodera amplicollis","murray",0,NA,NA,NA,NA
"242","Acmaeodera amplicollis","nicollet",0,NA,NA,NA,NA
"243","Acmaeodera amplicollis","nobles",0,NA,NA,NA,NA
"244","Acmaeodera amplicollis","norman",0,NA,NA,NA,NA
"245","Acmaeodera amplicollis","olmsted",0,NA,NA,NA,NA
"246","Acmaeodera amplicollis","otter tail",0,NA,NA,NA,NA
"247","Acmaeodera amplicollis","pennington",0,NA,NA,NA,NA
"248","Acmaeodera amplicollis","pine",0,NA,NA,NA,NA
"249","Acmaeodera amplicollis","pipestone",0,NA,NA,NA,NA
"250","Acmaeodera amplicollis","polk",0,NA,NA,NA,NA
"251","Acmaeodera amplicollis","pope",0,NA,NA,NA,NA
"252","Acmaeodera amplicollis","ramsey",0,NA,NA,NA,NA
"253","Acmaeodera amplicollis","red lake",0,NA,NA,NA,NA
"254","Acmaeodera amplicollis","redwood",0,NA,NA,NA,NA
"255","Acmaeodera amplicollis","renville",0,NA,NA,NA,NA
"256","Acmaeodera amplicollis","rice",0,NA,NA,NA,NA
"257","Acmaeodera amplicollis","rock",0,NA,NA,NA,NA
"258","Acmaeodera amplicollis","roseau",0,NA,NA,NA,NA
"259","Acmaeodera amplicollis","saint anthony park",0,NA,NA,NA,NA
"260","Acmaeodera amplicollis","santa rita",0,NA,NA,NA,NA
"261","Acmaeodera amplicollis","scott",0,NA,NA,NA,NA
"262","Acmaeodera amplicollis","sherburne",0,NA,NA,NA,NA
"263","Acmaeodera amplicollis","sibley",0,NA,NA,NA,NA
"264","Acmaeodera amplicollis","st louis",0,NA,NA,NA,NA
"265","Acmaeodera amplicollis","stearns",0,NA,NA,NA,NA
"266","Acmaeodera amplicollis","steele",0,NA,NA,NA,NA
"267","Acmaeodera amplicollis","stevens",0,NA,NA,NA,NA
"268","Acmaeodera amplicollis","swift",0,NA,NA,NA,NA
"269","Acmaeodera amplicollis","todd",0,NA,NA,NA,NA
"270","Acmaeodera amplicollis","traverse",0,NA,NA,NA,NA
"271","Acmaeodera amplicollis","wabasha",0,NA,NA,NA,NA
"272","Acmaeodera amplicollis","wadena",0,NA,NA,NA,NA
"273","Acmaeodera amplicollis","waseca",0,NA,NA,NA,NA
"274","Acmaeodera amplicollis","washington",0,NA,NA,NA,NA
"275","Acmaeodera amplicollis","watonwan",0,NA,NA,NA,NA
"276","Acmaeodera amplicollis","wilkin",0,NA,NA,NA,NA
"277","Acmaeodera amplicollis","winona",0,NA,NA,NA,NA
"278","Acmaeodera amplicollis","wright",0,NA,NA,NA,NA
"279","Acmaeodera amplicollis","yellow medicine",0,NA,NA,NA,NA
"280","Acmaeodera angelica","aitkin",0,NA,NA,NA,NA
"281","Acmaeodera angelica","anoka",0,NA,NA,NA,NA
"282","Acmaeodera angelica","anoka/isanti",0,NA,NA,NA,NA
"283","Acmaeodera angelica","aonka/isanti",0,NA,NA,NA,NA
"284","Acmaeodera angelica","becker",0,NA,NA,NA,NA
"285","Acmaeodera angelica","beltrami",0,NA,NA,NA,NA
"286","Acmaeodera angelica","benton",0,NA,NA,NA,NA
"287","Acmaeodera angelica","big stone",0,NA,NA,NA,NA
"288","Acmaeodera angelica","blue earth",0,NA,NA,NA,NA
"289","Acmaeodera angelica","brown",0,NA,NA,NA,NA
"290","Acmaeodera angelica","carlton",0,NA,NA,NA,NA
"291","Acmaeodera angelica","carver",0,NA,NA,NA,NA
"292","Acmaeodera angelica","cass",0,NA,NA,NA,NA
"293","Acmaeodera angelica","chippewa",0,NA,NA,NA,NA
"294","Acmaeodera angelica","chisago",0,NA,NA,NA,NA
"295","Acmaeodera angelica","clay",0,NA,NA,NA,NA
"296","Acmaeodera angelica","clearwater",0,NA,NA,NA,NA
"297","Acmaeodera angelica","cook",0,NA,NA,NA,NA
"298","Acmaeodera angelica","cottonwood",0,NA,NA,NA,NA
"299","Acmaeodera angelica","crow wing",0,NA,NA,NA,NA
"300","Acmaeodera angelica","dakota",0,NA,NA,NA,NA
"301","Acmaeodera angelica","dodge",0,NA,NA,NA,NA
"302","Acmaeodera angelica","douglas",0,NA,NA,NA,NA
"303","Acmaeodera angelica","faribault",0,NA,NA,NA,NA
"304","Acmaeodera angelica","fillmore",0,NA,NA,NA,NA
"305","Acmaeodera angelica","freeborn",0,NA,NA,NA,NA
"306","Acmaeodera angelica","goodhue",0,NA,NA,NA,NA
"307","Acmaeodera angelica","grant",0,NA,NA,NA,NA
"308","Acmaeodera angelica","hennepin",0,NA,NA,NA,NA
"309","Acmaeodera angelica","houston",0,NA,NA,NA,NA
"310","Acmaeodera angelica","hubbard",0,NA,NA,NA,NA
"311","Acmaeodera angelica","isanti",0,NA,NA,NA,NA
"312","Acmaeodera angelica","itasca",0,NA,NA,NA,NA
"313","Acmaeodera angelica","itasca park",0,NA,NA,NA,NA
"314","Acmaeodera angelica","jackson",0,NA,NA,NA,NA
"315","Acmaeodera angelica","kanabec",0,NA,NA,NA,NA
"316","Acmaeodera angelica","kandiyohi",0,NA,NA,NA,NA
"317","Acmaeodera angelica","kittson",0,NA,NA,NA,NA
"318","Acmaeodera angelica","koochiching",0,NA,NA,NA,NA
"319","Acmaeodera angelica","lac qui parle",0,NA,NA,NA,NA
"320","Acmaeodera angelica","lake",0,NA,NA,NA,NA
"321","Acmaeodera angelica","lake of the woods",0,NA,NA,NA,NA
"322","Acmaeodera angelica","le sueur",0,NA,NA,NA,NA
"323","Acmaeodera angelica","lincoln",0,NA,NA,NA,NA
"324","Acmaeodera angelica","lyon",0,NA,NA,NA,NA
"325","Acmaeodera angelica","mahnomen",0,NA,NA,NA,NA
"326","Acmaeodera angelica","marshall",0,NA,NA,NA,NA
"327","Acmaeodera angelica","martin",0,NA,NA,NA,NA
"328","Acmaeodera angelica","mcleod",0,NA,NA,NA,NA
"329","Acmaeodera angelica","meeker",0,NA,NA,NA,NA
"330","Acmaeodera angelica","mille lacs",0,NA,NA,NA,NA
"331","Acmaeodera angelica","mille lacs lake",0,NA,NA,NA,NA
"332","Acmaeodera angelica","morrison",0,NA,NA,NA,NA
"333","Acmaeodera angelica","mower",0,NA,NA,NA,NA
"334","Acmaeodera angelica","murray",0,NA,NA,NA,NA
"335","Acmaeodera angelica","nicollet",0,NA,NA,NA,NA
"336","Acmaeodera angelica","nobles",0,NA,NA,NA,NA
"337","Acmaeodera angelica","norman",0,NA,NA,NA,NA
"338","Acmaeodera angelica","olmsted",0,NA,NA,NA,NA
"339","Acmaeodera angelica","otter tail",0,NA,NA,NA,NA
"340","Acmaeodera angelica","pennington",0,NA,NA,NA,NA
"341","Acmaeodera angelica","pine",0,NA,NA,NA,NA
"342","Acmaeodera angelica","pipestone",0,NA,NA,NA,NA
"343","Acmaeodera angelica","polk",0,NA,NA,NA,NA
"344","Acmaeodera angelica","pope",0,NA,NA,NA,NA
"345","Acmaeodera angelica","ramsey",0,NA,NA,NA,NA
"346","Acmaeodera angelica","red lake",0,NA,NA,NA,NA
"347","Acmaeodera angelica","redwood",0,NA,NA,NA,NA
"348","Acmaeodera angelica","renville",0,NA,NA,NA,NA
"349","Acmaeodera angelica","rice",0,NA,NA,NA,NA
"350","Acmaeodera angelica","rock",0,NA,NA,NA,NA
"351","Acmaeodera angelica","roseau",0,NA,NA,NA,NA
"352","Acmaeodera angelica","saint anthony park",0,NA,NA,NA,NA
"353","Acmaeodera angelica","santa rita",0,NA,NA,NA,NA
"354","Acmaeodera angelica","scott",0,NA,NA,NA,NA
"355","Acmaeodera angelica","sherburne",0,NA,NA,NA,NA
"356","Acmaeodera angelica","sibley",0,NA,NA,NA,NA
"357","Acmaeodera angelica","st louis",0,NA,NA,NA,NA
"358","Acmaeodera angelica","stearns",0,NA,NA,NA,NA
"359","Acmaeodera angelica","steele",0,NA,NA,NA,NA
"360","Acmaeodera angelica","stevens",0,NA,NA,NA,NA
"361","Acmaeodera angelica","swift",0,NA,NA,NA,NA
"362","Acmaeodera angelica","todd",0,NA,NA,NA,NA
"363","Acmaeodera angelica","traverse",0,NA,NA,NA,NA
"364","Acmaeodera angelica","wabasha",0,NA,NA,NA,NA
"365","Acmaeodera angelica","wadena",0,NA,NA,NA,NA
"366","Acmaeodera angelica","waseca",0,NA,NA,NA,NA
"367","Acmaeodera angelica","washington",0,NA,NA,NA,NA
"368","Acmaeodera angelica","watonwan",0,NA,NA,NA,NA
"369","Acmaeodera angelica","wilkin",0,NA,NA,NA,NA
"370","Acmaeodera angelica","winona",0,NA,NA,NA,NA
"371","Acmaeodera angelica","wright",0,NA,NA,NA,NA
"372","Acmaeodera angelica","yellow medicine",0,NA,NA,NA,NA
"373","Acmaeodera bowditchi","aitkin",0,NA,NA,NA,NA
"374","Acmaeodera bowditchi","anoka",0,NA,NA,NA,NA
"375","Acmaeodera bowditchi","anoka/isanti",0,NA,NA,NA,NA
"376","Acmaeodera bowditchi","aonka/isanti",0,NA,NA,NA,NA
"377","Acmaeodera bowditchi","becker",0,NA,NA,NA,NA
"378","Acmaeodera bowditchi","beltrami",0,NA,NA,NA,NA
"379","Acmaeodera bowditchi","benton",0,NA,NA,NA,NA
"380","Acmaeodera bowditchi","big stone",0,NA,NA,NA,NA
"381","Acmaeodera bowditchi","blue earth",0,NA,NA,NA,NA
"382","Acmaeodera bowditchi","brown",0,NA,NA,NA,NA
"383","Acmaeodera bowditchi","carlton",0,NA,NA,NA,NA
"384","Acmaeodera bowditchi","carver",0,NA,NA,NA,NA
"385","Acmaeodera bowditchi","cass",0,NA,NA,NA,NA
"386","Acmaeodera bowditchi","chippewa",0,NA,NA,NA,NA
"387","Acmaeodera bowditchi","chisago",0,NA,NA,NA,NA
"388","Acmaeodera bowditchi","clay",0,NA,NA,NA,NA
"389","Acmaeodera bowditchi","clearwater",0,NA,NA,NA,NA
"390","Acmaeodera bowditchi","cook",0,NA,NA,NA,NA
"391","Acmaeodera bowditchi","cottonwood",0,NA,NA,NA,NA
"392","Acmaeodera bowditchi","crow wing",0,NA,NA,NA,NA
"393","Acmaeodera bowditchi","dakota",0,NA,NA,NA,NA
"394","Acmaeodera bowditchi","dodge",0,NA,NA,NA,NA
"395","Acmaeodera bowditchi","douglas",0,NA,NA,NA,NA
"396","Acmaeodera bowditchi","faribault",0,NA,NA,NA,NA
"397","Acmaeodera bowditchi","fillmore",0,NA,NA,NA,NA
"398","Acmaeodera bowditchi","freeborn",0,NA,NA,NA,NA
"399","Acmaeodera bowditchi","goodhue",0,NA,NA,NA,NA
"400","Acmaeodera bowditchi","grant",0,NA,NA,NA,NA
"401","Acmaeodera bowditchi","hennepin",0,NA,NA,NA,NA
"402","Acmaeodera bowditchi","houston",0,NA,NA,NA,NA
"403","Acmaeodera bowditchi","hubbard",0,NA,NA,NA,NA
"404","Acmaeodera bowditchi","isanti",0,NA,NA,NA,NA
"405","Acmaeodera bowditchi","itasca",0,NA,NA,NA,NA
"406","Acmaeodera bowditchi","itasca park",0,NA,NA,NA,NA
"407","Acmaeodera bowditchi","jackson",0,NA,NA,NA,NA
"408","Acmaeodera bowditchi","kanabec",0,NA,NA,NA,NA
"409","Acmaeodera bowditchi","kandiyohi",0,NA,NA,NA,NA
"410","Acmaeodera bowditchi","kittson",0,NA,NA,NA,NA
"411","Acmaeodera bowditchi","koochiching",0,NA,NA,NA,NA
"412","Acmaeodera bowditchi","lac qui parle",0,NA,NA,NA,NA
"413","Acmaeodera bowditchi","lake",0,NA,NA,NA,NA
"414","Acmaeodera bowditchi","lake of the woods",0,NA,NA,NA,NA
"415","Acmaeodera bowditchi","le sueur",0,NA,NA,NA,NA
"416","Acmaeodera bowditchi","lincoln",0,NA,NA,NA,NA
"417","Acmaeodera bowditchi","lyon",0,NA,NA,NA,NA
"418","Acmaeodera bowditchi","mahnomen",0,NA,NA,NA,NA
"419","Acmaeodera bowditchi","marshall",0,NA,NA,NA,NA
"420","Acmaeodera bowditchi","martin",0,NA,NA,NA,NA
"421","Acmaeodera bowditchi","mcleod",0,NA,NA,NA,NA
